랭킹,제목,가수,앨범
39,돌아오는 길,서인국,고교처세왕 (tvN 월화드라마) OST - Part.4
40,보기 드문 여자,블락비(Block B),HER
41,"[권리없는 곡]
어디부터 어디까지 (With 양요섭)",현아,A Talk
42,이제 그만 싸우자,허각,'A CUBE' FOR SEASON # SKY BLUE
43,SOLO DAY,B1A4,SOLO DAY
44,One Summer Night (Korean ver.),조권,유혹 (SBS 월화드라마) OST - Part.3
45,"[권리없는 곡]
Maps",Maroon 5(마룬 파이브),Maps
46,우산,윤하(Younha/ユンナ),우산
47,단발머리 (Short Hair),에이오에이(AOA),단발머리
48,7살,JYJ,Just Us
49,서른..,JYJ,Just Us
50,Creation,JYJ,Just Us
51,Baboboy,JYJ,Just Us
52,But I Love U,씨스타(Sistar),TOUCH N MOVE
53,AEAO,다이나믹 듀오,A Giant Step
54,나나 (NaNa) (feat. 로꼬 & AOMG),박재범,나나 (NaNa)
55,Valentine,JYJ,Just Us
56,너의 의미 (feat. 김창완),아이유(IU),꽃갈피
57,How Do I Look ?,빈지노(Beenzino),Up All Night
58,"Dad,You There?",JYJ,Just Us
59,Dear J,JYJ,Just Us
60,Bang Bang,Jessie J(제시 제이),Bang Bang
61,Red Light,f(x),The 3rd Album 'Red Light'
62,굿모닝 (feat. 버벌진트),태완(Taewan),As I Am
63,Ok Go!,씨스타(Sistar),TOUCH N MOVE
64,오늘부터 1일 (Day 1),케이윌,One Fine Day
65,"전화번호 (feat. 버벌진트, 40)",스윙스(Swings),감정기복 II Part.2 : 강박증 (Obsessive Compulsive Disorder)
66,I'm In Love,에일리(AILEE),Re;code Episode V
67,애타는 마음,울랄라세션(Ulala Session),애타는 마음
68,사람냄새,정인,사람냄새
69,Summer Dream (feat. 나미),스페이스 A(Space A),Summer Dream
70,기다리라 해요,임창정,조선총잡이 (KBS 수목드라마) OST - Part.4
71,Mr.애매모호,마마무(Mamamoo),Hello
72,그렇게,라디(Ra.D),3rd Album [Soundz]
73,캐논의 아침,백아연,운명처럼 널 사랑해 (MBC 수목드라마) OST - Part.1
74,너 사용법,에디킴(Eddy Kim),너 사용법
75,Just Us,JYJ,Just Us
76,"[19금]
Bend Ova (feat. Tyga)",Lil Jon(릴 존),Bend Ova
77,하늘색 약속,지오디(god),Chapter 8
78,"[19금]
Gravity (feat. Mad Clown, 기리보이)",스윙스(Swings),감정기복 II Part.2 : 강박증 (Obsessive Compulsive Disorder)
79,연결고리 (feat. MC Meta),일리네어 레코즈(ILLIONAIRE RECORDS),11:11
80,All Of The Stars,Ed Sheeran(에드 시런),"안녕, 헤이즐 (The Fault In Our Stars) OST"
81,노래 불러줘요 (feat. 아이유),지오디(god),Chapter 8
82,Best Friend,Jason Mraz(제이슨 므라즈),Yes!
83,나의 옛날이야기,아이유(IU),꽃갈피
84,Wow,씨스타(Sistar),TOUCH N MOVE
85,Sunshine,씨스타(Sistar),TOUCH N MOVE
86,심장이 없어,에이트(8Eight),The Golden Age
87,Treasure,Bruno Mars(브루노 마스),Unorthodox Jukebox
88,유혹,이루(Eru),유혹 (SBS 월화드라마) OST - Part.2
89,썸 (feat. 릴보이 Of 긱스),소유 (SOYOU),썸
90,Hot Baby,베스티(BESTie),Hot Baby
91,고백했는데,브로(Bro),고백했는데
92,촛불 하나,지오디(god),Chapter 3
93,그대 그리고 나,박정현,유혹 (SBS 월화드라마) OST - Part.1
94,Good Luck,비스트(Beast),Good Luck
95,듣고 있어?,스윙스(Swings),Swings #1 Mixtape Vol.II
96,"[권리없는 곡]
Problem (feat. Iggy Azalea)",Ariana Grande(아리아나 그란데),Problem
97,우리가 사는 이야기 (feat. 메건리),지오디(god),Chapter 8
98,니가 예쁘다 (U Beauty),백퍼센트(100%),"100% Cool Summer Album ""Sunkiss"""
99,"[19금]
불도저 (Bulldozer)",스윙스(Swings),Double Single [Bulldozer]
100,Diamond,인피니트(Infinite),Be Back
